dataset,model,cv,mean_cost_usd
mmlu,llama-3.1-8b,0.7186710098020685,1.2404099999999999e-05
mmlu,qwen2.5-7b,0.7611375387779157,3.7356e-05
mmlu,gpt-4o-mini,1.3966376326888386,2.0729699999999996e-05
mmlu,gpt-oss-20b,1.2333260670606572,7.996519999999998e-05
mmlu,deepseek-v3,1.947864807353439,9.63748e-05
mmlu,llama-3.3-70b,0.807533121471354,0.00011306988
mmlu,gpt-4o,1.0332023615356016,0.000355615
mmlu,MiniMax-M2.7,0.9865590597045376,0.0007312296
triviaqa,llama-3.1-8b,0.2057543987898158,4.37445e-06
triviaqa,qwen2.5-7b,0.2105977128334849,1.3152749999999999e-05
triviaqa,gpt-4o-mini,0.25542439747049883,8.350275e-06
triviaqa,gpt-oss-20b,1.6510070096768685,0.000103064825
triviaqa,deepseek-v3,0.3964666427161351,3.226095e-05
triviaqa,llama-3.3-70b,1.4425240858830302,4.01742e-05
triviaqa,gpt-4o,0.3007433236600143,0.00013923125
triviaqa,MiniMax-M2.7,1.58000344804459,0.00037030334999999995
math_hard,llama-3.1-8b,1.0800698311788672,5.96681e-05
math_hard,qwen2.5-7b,0.5353908097132136,0.00022034834999999997
math_hard,gpt-4o-mini,0.47369778659099293,0.000424061325
math_hard,gpt-oss-20b,0.8848872241869576,0.000275987275
math_hard,deepseek-v3,0.7221185038720574,0.0013913833499999998
math_hard,llama-3.3-70b,0.5876479267896909,0.0006399329199999999
math_hard,gpt-4o,0.4180533103174022,0.005996903749999999
math_hard,MiniMax-M2.7,0.4916051955221197,0.00166808685
simpleqa,llama-3.1-8b,0.7134521398048587,6.93635e-06
simpleqa,qwen2.5-7b,0.2599791055404915,2.3930849999999998e-05
simpleqa,gpt-4o-mini,0.26020716341777095,2.01309e-05
simpleqa,gpt-oss-20b,0.7406860090638054,0.0002101322
simpleqa,deepseek-v3,0.41825604075787515,5.837225e-05
simpleqa,llama-3.3-70b,2.293200131646101,7.027240000000001e-05
simpleqa,gpt-4o,0.32204523638587795,0.00035512000000000006
simpleqa,MiniMax-M2.7,0.7936090230344893,0.0008027028
livecodebench,llama-3.1-8b,0.40198791960949176,7.077876777251185e-05
livecodebench,qwen2.5-7b,0.38563973367527,0.00022180635071090046
livecodebench,gpt-4o-mini,0.45149942343499727,0.00019218156398104265
livecodebench,deepseek-v3,0.8847913585726329,0.0015120948815165877
livecodebench,llama-3.3-70b,0.36319533909979357,0.0006614605497630332
livecodebench,gpt-4o,0.46100933849844433,0.0037691777251184838
livecodebench,MiniMax-M2.7,0.3093423336241947,0.002258990616113744
