dataset,optimizer,median_delta,bwr,dominance_frac
mmlu,nsga2,0.001803589142902906,0.9737992218432487,0.9559118236472945
mmlu,random,0.0031230623450146933,0.9284638165806237,0.9559118236472945
triviaqa,nsga2,0.0033127174474191223,1.0577020465213403,0.9018036072144289
triviaqa,random,0.004789427765157672,1.1552558412491207,0.9078156312625251
math_hard,nsga2,-0.0025436946457574328,0.9429617486516435,0.008016032064128256
math_hard,random,-0.002019497124436498,0.9170296998125098,0.006012024048096192
simpleqa,nsga2,0.0029401786430913734,0.9739394938584311,0.7535070140280561
simpleqa,random,0.0029401786430913734,0.9462067502632387,0.6673346693386774
livecodebench,nsga2,-0.001838098604730054,0.9309551103599816,0.012024048096192385
livecodebench,random,0.0010028104861790066,1.0256949493551026,0.5490981963927856
