pair,scorer,median_cheap_auroc,p10_cheap_auroc,p90_cheap_auroc,median_benefit_auroc,p10_benefit_auroc,p90_benefit_auroc,median_gain,p10_gain,p90_gain
gpt-4o-mini→deepseek-v3,logreg_ensemble,0.7902884598541893,0.7750998170625472,0.8056806491122858,0.6240712063205288,0.6041326391344253,0.6496918309960591,0.030318730623116307,-0.014017222964555029,0.06775878911856974
gpt-4o-mini→deepseek-v3,mean_token_negentropy,0.7942846901265825,0.7769005080113759,0.8048060131818172,0.6294241647251173,0.6067579741618913,0.6506957027599333,0.0592901684984948,0.014127557556850181,0.10748196776704194
gpt-4o-mini→deepseek-v3,min_probability,0.7318050954077766,0.7071645317705746,0.7450617904149502,0.6048631957338402,0.5753130257938694,0.6312688482978871,0.024778512494548925,-0.016148337927085966,0.07005862893099123
gpt-4o-mini→deepseek-v3,min_token_negentropy,0.7834140699563105,0.7677645667844712,0.7995979807033102,0.6132403985666829,0.5936097227691296,0.6392206357022981,0.021607559906333947,-0.02398210329843996,0.04953433356985171
gpt-4o-mini→deepseek-v3,probability_margin,0.7741052901964675,0.7592566135098776,0.7866900901642726,0.6106652464359719,0.592707475704675,0.638401269400672,0.044445518956538144,-0.0035546824422861435,0.09296299057767486
gpt-4o-mini→deepseek-v3,sequence_probability,0.759863430403017,0.7463795999827703,0.7759828597391022,0.6248645204290605,0.597838565937352,0.6475846775097194,0.06962118754679233,0.024071945188729845,0.11808617446397125
gpt-4o-mini→llama-3.3-70b,logreg_ensemble,0.7902884598541893,0.7750998170625472,0.8056806491122858,0.5792569097068039,0.558511440064857,0.6083368562211389,0.027785838243447714,-0.03629726274393784,0.08783676218130781
gpt-4o-mini→llama-3.3-70b,mean_token_negentropy,0.7942846901265825,0.7769005080113759,0.8048060131818172,0.5750951270002109,0.5555038837683058,0.6030843235526067,0.03333642026587226,-0.010203243562815278,0.11228019363991773
gpt-4o-mini→llama-3.3-70b,min_probability,0.7318050954077766,0.7071645317705746,0.7450617904149502,0.5826522529341525,0.5577809399419588,0.6140186888882193,0.06403967002849925,0.0038091550678642293,0.1358661102413068
gpt-4o-mini→llama-3.3-70b,min_token_negentropy,0.7834140699563105,0.7677645667844712,0.7995979807033102,0.5789803313143667,0.549783531772448,0.5995355688351155,0.02092999754162007,-0.05607844827556942,0.08894526191383048
gpt-4o-mini→llama-3.3-70b,probability_margin,0.7741052901964675,0.7592566135098776,0.7866900901642726,0.5666415784147742,0.5411350829752954,0.5960538647350042,0.04013865000546535,-0.014259740477597033,0.12493939451149114
gpt-4o-mini→llama-3.3-70b,sequence_probability,0.759863430403017,0.7463795999827703,0.7759828597391022,0.5663253386082446,0.5442964534159079,0.5966724519023732,0.036587902261675284,-0.02171002648733914,0.12381578525480168
llama-3.1-8b→deepseek-v3,logreg_ensemble,0.7679956241643369,0.7427567764677283,0.7925294761152304,0.49410512438676996,0.47806374955186,0.5145658961611315,-0.08863889993714935,-0.10480975433328941,-0.07320974273218651
llama-3.1-8b→deepseek-v3,mean_token_negentropy,0.7551719946517563,0.7308715206028928,0.7875288683602771,0.5199031616598716,0.49676779007884597,0.5422177429890378,-0.049461664032752234,-0.06697438190971233,-0.03864556629602405
llama-3.1-8b→deepseek-v3,min_probability,0.7386045946274462,0.7213638021149872,0.7658745593776589,0.4937607263501008,0.47704091192389897,0.5126004949623831,-0.07771222989443972,-0.09663644102124218,-0.06357705274769691
llama-3.1-8b→deepseek-v3,min_token_negentropy,0.7195940196912605,0.6946833596693812,0.7435079615898871,0.48128414079620313,0.4656716762994681,0.4999213465730721,-0.08914146699294573,-0.10442345388526066,-0.07253017057368562
llama-3.1-8b→deepseek-v3,probability_margin,0.7298043029050687,0.7087297921478061,0.7710441230096025,0.5227949105793102,0.500114870828784,0.5425455018545683,-0.04257278650441123,-0.0578770769707203,-0.031285037762580424
llama-3.1-8b→deepseek-v3,sequence_probability,0.7498845265588916,0.7242275434544792,0.7817867995624164,0.5162297618442435,0.49505053008487837,0.5412533076857838,-0.047395942988731246,-0.06352648365140301,-0.03752383269332489
llama-3.1-8b→gpt-4o-mini,logreg_ensemble,0.7679956241643369,0.7427567764677283,0.7925294761152304,0.5096183655753969,0.4880406321156603,0.5253531421014532,-0.03413918875378847,-0.048678263779360076,-0.022155988450740877
llama-3.1-8b→gpt-4o-mini,mean_token_negentropy,0.7551719946517563,0.7308715206028928,0.7875288683602771,0.5353363960877847,0.5152943029057335,0.558163828460066,0.016586393440189227,0.0015580401628834276,0.033060616933038946
llama-3.1-8b→gpt-4o-mini,min_probability,0.7386045946274462,0.7213638021149872,0.7658745593776589,0.5050789899347652,0.4786816283204908,0.5206670641229465,-0.04158393393017022,-0.06000047463274772,-0.02703383381747015
llama-3.1-8b→gpt-4o-mini,min_token_negentropy,0.7195940196912605,0.6946833596693812,0.7435079615898871,0.5048311999955863,0.48621133440339726,0.5181170126713813,-0.03880520307821863,-0.05500238316047693,-0.025051092769709477
llama-3.1-8b→gpt-4o-mini,probability_margin,0.7298043029050687,0.7087297921478061,0.7710441230096025,0.5348932581208821,0.5138049884015231,0.5565660566262234,0.01777288291387046,0.004286125817693767,0.033873891577899426
