pair,scorer,median_cheap_auroc,p10_cheap_auroc,p90_cheap_auroc,median_benefit_auroc,p10_benefit_auroc,p90_benefit_auroc,median_gain,p10_gain,p90_gain
deepseek-v3→gpt-4o,logreg_ensemble,0.7493868517875586,0.7351871338601149,0.7652558134664088,0.5033686398095634,0.48467533997640005,0.5216855498983503,0.03533808083764528,0.011403962325827851,0.056329706013431534
deepseek-v3→gpt-4o,mean_token_negentropy,0.7142416193863927,0.6967869165810796,0.7286009653685983,0.5375070435762584,0.5211118450549123,0.5545990238887003,0.07057152874669358,0.044025570113549094,0.09007314349433976
deepseek-v3→gpt-4o,min_probability,0.7061948936851327,0.6872478744179166,0.7245689540241144,0.47878606384195416,0.457990667897673,0.49618881135047094,0.0019124716326350533,-0.016846501090753533,0.02764523148349652
deepseek-v3→gpt-4o,min_token_negentropy,0.7240452654891156,0.7103277256157388,0.7408736453053143,0.4754644896456457,0.4468832324055292,0.4939674342823996,0.005458097236753685,-0.027245475928587948,0.023817049883393393
deepseek-v3→gpt-4o,probability_margin,0.690952331190837,0.6765962178530002,0.7098858483069408,0.5363363908818455,0.5183215050969014,0.548281235581436,0.0668585825693925,0.0432194906531069,0.08833949513711174
deepseek-v3→gpt-4o,sequence_probability,0.7209375686160246,0.7018821429051956,0.7377005098626388,0.5186619361922593,0.4944547364161495,0.5347771504131847,0.05055667196164596,0.02286142456931699,0.06852765282629894
gpt-4o-mini→deepseek-v3,logreg_ensemble,0.7913750930053721,0.7758137354751912,0.8133835317028522,0.43930114127945447,0.41811634563992844,0.4519754737252948,-0.0049629166189827335,-0.03434681149176462,0.029819306060904306
gpt-4o-mini→deepseek-v3,mean_token_negentropy,0.7599812637070829,0.7449081878224083,0.7865219788151361,0.4861824160659789,0.46903558913335747,0.5015624155961756,0.06075115000866617,0.034625535362835434,0.08865357552322399
gpt-4o-mini→deepseek-v3,min_probability,0.7417111597760428,0.7242292505458406,0.7733497702605642,0.46050515320416585,0.4403778473142356,0.48017634933161046,0.019688318693185148,-0.013889881487966741,0.05816303750475694
gpt-4o-mini→deepseek-v3,min_token_negentropy,0.7878170054898195,0.7713473949921723,0.8040060353465633,0.42827655197376235,0.4046892057833105,0.4461170093696504,-0.022606744364716803,-0.05191767695451487,0.011713184856830112
gpt-4o-mini→deepseek-v3,probability_margin,0.7155100624697501,0.693884994807892,0.7408035919787029,0.501831746743624,0.48340472776520504,0.5195984799292305,0.06878851838201108,0.043580050022821726,0.09003264416627312
gpt-4o-mini→deepseek-v3,sequence_probability,0.7546974707457179,0.7371547351868409,0.7802155900698796,0.47049831892996097,0.4504485303866451,0.48812181836934504,0.03782089164346859,0.006112055329298522,0.0667432078313711
gpt-4o-mini→gpt-4o,logreg_ensemble,0.7913750930053721,0.7758137354751912,0.8133835317028522,0.4637610264829891,0.4431957804591703,0.4784214007322331,-0.023754600559337428,-0.038931391061515074,-0.010450330916553726
gpt-4o-mini→gpt-4o,mean_token_negentropy,0.7599812637070829,0.7449081878224083,0.7865219788151361,0.48151815626752326,0.4623957128156092,0.49609818239437353,-0.0085832136793227,-0.02342573957356002,0.004175916089825162
gpt-4o-mini→gpt-4o,min_probability,0.7417111597760428,0.7242292505458406,0.7733497702605642,0.468732463291735,0.4496282487603196,0.48127431703971263,-0.021390526135031115,-0.037513964306957616,-0.013312131913994003
