pair,scorer,median_cheap_auroc,p10_cheap_auroc,p90_cheap_auroc,median_benefit_auroc,p10_benefit_auroc,p90_benefit_auroc,median_gain,p10_gain,p90_gain
deepseek-v3→llama-3.3-70b,logreg_ensemble,0.7748513117309443,0.7586782204301542,0.7937391978248727,0.8067417112062565,0.7888483241521027,0.8332173949958926,0.4670255880768186,0.4167180223859741,0.5627548875261073
deepseek-v3→llama-3.3-70b,mean_token_negentropy,0.7163634552878353,0.6978284990181964,0.7304991248074271,0.7573657739011488,0.7413126350267273,0.7773646924268955,0.3714529650840136,0.296404751486812,0.41766910794298473
deepseek-v3→llama-3.3-70b,min_probability,0.7366765768003656,0.7231341526776612,0.7543527759720592,0.7663900465986851,0.7477284335981839,0.7903751028464333,0.3830751312215742,0.33360910378067965,0.4604009251214479
deepseek-v3→llama-3.3-70b,min_token_negentropy,0.7726646562743502,0.7566519664854013,0.789267409250701,0.8129771120646823,0.793121860697194,0.8334422197101389,0.4907247512948066,0.42586091199792814,0.5796847752669051
deepseek-v3→llama-3.3-70b,probability_margin,0.6886479147725546,0.6687718934709278,0.7052678051263853,0.7185334625813664,0.7039849668146504,0.7414060480589648,0.2975450860084853,0.24969315240948947,0.34814048314737217
deepseek-v3→llama-3.3-70b,sequence_probability,0.7083438771859902,0.6942210662023328,0.7248812724147623,0.7389416337963757,0.725127591160197,0.7622855523146993,0.32787719936156096,0.2803148061508009,0.38266800726112427
gpt-4o-mini→deepseek-v3,logreg_ensemble,0.7728692127243968,0.7576184520417649,0.7868816928824001,0.7909416312026923,0.7726889069839868,0.816036894946959,0.7500715105956783,0.5321936768164727,1.136176856896277
gpt-4o-mini→deepseek-v3,mean_token_negentropy,0.7351154534412012,0.7201355524341396,0.7512451326277374,0.7672077159766544,0.7487553408215303,0.7859899661228568,0.5166582838373135,0.3850408076004996,0.7986768383001129
gpt-4o-mini→deepseek-v3,min_probability,0.7585013650066392,0.7425779174614308,0.7747752244490412,0.7774589399029489,0.7596624735457583,0.7977220545878696,0.7498256102862312,0.5236002134111507,1.1391622474441256
gpt-4o-mini→deepseek-v3,min_token_negentropy,0.7629758710787202,0.7432304414167658,0.7823537894317539,0.7809786474314856,0.7620076258416961,0.8030991966167852,0.6836510302563398,0.4778296746222343,1.0260372493125842
