dataset,cheap_model,expensive_model,spearman_score_cost,abs_spearman_score_cost,p_value,n
mmlu,llama-3.1-8b,qwen2.5-7b,-0.03939653101756287,0.03939653101756287,0.07823708360656398,1999
mmlu,llama-3.1-8b,gpt-4o-mini,-0.04599073091401955,0.04599073091401955,0.039777165228953554,1999
mmlu,llama-3.1-8b,gpt-oss-20b,-0.11499708079546517,0.11499708079546517,2.5304260327059057e-07,1999
mmlu,llama-3.1-8b,deepseek-v3,-0.055773228686423766,0.055773228686423766,0.012630807156209924,1999
mmlu,llama-3.1-8b,llama-3.3-70b,-0.05253323143357748,0.05253323143357748,0.018827801998738482,1999
mmlu,llama-3.1-8b,gpt-4o,-0.047660990634388604,0.047660990634388604,0.03310484697517603,1999
mmlu,llama-3.1-8b,MiniMax-M2.7,-0.10810866609357793,0.10810866609357793,1.2677810796093219e-06,1999
mmlu,qwen2.5-7b,gpt-4o-mini,-0.1312036352082785,0.1312036352082785,3.875725720489704e-09,2000
mmlu,qwen2.5-7b,gpt-oss-20b,-0.3748129427676486,0.3748129427676486,9.903571705657881e-68,2000
mmlu,qwen2.5-7b,deepseek-v3,-0.13855013294060659,0.13855013294060659,4.898945610465856e-10,2000
mmlu,qwen2.5-7b,llama-3.3-70b,-0.13281331334542748,0.13281331334542748,2.4869805183461718e-09,2000
mmlu,qwen2.5-7b,gpt-4o,-0.14576474859658914,0.14576474859658914,5.764004343683019e-11,2000
mmlu,qwen2.5-7b,MiniMax-M2.7,-0.36402028059893626,0.36402028059893626,1.0348621493849088e-63,2000
mmlu,gpt-4o-mini,gpt-oss-20b,-0.5087334341972427,0.5087334341972427,4.0204180294869793e-132,2000
mmlu,gpt-4o-mini,deepseek-v3,-0.30800074183936854,0.30800074183936854,3.2952928935217245e-45,2000
mmlu,gpt-4o-mini,llama-3.3-70b,-0.3026746872329109,0.3026746872329109,1.2067517305591208e-43,2000
mmlu,gpt-4o-mini,gpt-4o,-0.3155082034716822,0.3155082034716822,1.811261854756823e-47,2000
mmlu,gpt-4o-mini,MiniMax-M2.7,-0.5012980316029473,0.5012980316029473,9.650215324390566e-128,2000
mmlu,gpt-oss-20b,deepseek-v3,-0.32344441585586364,0.32344441585586364,6.267998274835998e-50,2000
