pair,scorer,median_cheap_auroc,p10_cheap_auroc,p90_cheap_auroc,median_benefit_auroc,p10_benefit_auroc,p90_benefit_auroc,median_gain,p10_gain,p90_gain
gpt-oss-20b→deepseek-v3,logreg_ensemble,0.6762726915379836,0.660709913550248,0.6963994472253603,0.6329214081324763,0.5985747574746997,0.671521249048329,0.10800927678298587,-0.11061804915406534,0.47696293023097697
gpt-oss-20b→deepseek-v3,mean_token_negentropy,0.6619651019170676,0.6464264214108252,0.6809851468763578,0.6213044334315309,0.5882841022236973,0.6618809464988664,0.12796134093394684,-0.06319784962560165,0.6097608686640489
gpt-oss-20b→deepseek-v3,min_probability,0.6854244101517257,0.6710700812719358,0.7091896815582951,0.6383341516635971,0.6134339536859786,0.6726681743288019,-0.10354459076237654,-0.266656263272415,0.007518502102944701
gpt-oss-20b→deepseek-v3,min_token_negentropy,0.6989428431906128,0.6806528145989201,0.7136329926910127,0.6547293397038727,0.619787209378907,0.6741793967974901,-0.04930044374208641,-0.2826856414857696,0.09554863815732478
gpt-oss-20b→deepseek-v3,probability_margin,0.6544738902601095,0.6397016997592303,0.6731364348365708,0.6132255501494177,0.5807279566323709,0.6537150942034071,0.10998881911045943,-0.08207798871662711,0.5617133777296244
gpt-oss-20b→deepseek-v3,sequence_probability,0.6640379498301505,0.6480978174121995,0.682967039297735,0.6207536940329978,0.5834659908743194,0.6591817928094477,0.13667611127865678,-0.06951905295952454,0.5859101954627833
llama-3.1-8b→deepseek-v3,logreg_ensemble,0.6587445768940432,0.6332454022845482,0.6867987291474836,0.5369411799400009,0.5135450197730126,0.5498323563187776,-0.05651123188662331,-0.06634653392444205,-0.05029564614235284
llama-3.1-8b→deepseek-v3,mean_token_negentropy,0.5109499041883383,0.49743921558868176,0.5395739491824901,0.48683697867740316,0.4667622302564682,0.5023297295382478,0.002806629545985302,-0.007411159604227208,0.014443782304518855
llama-3.1-8b→deepseek-v3,min_probability,0.6559614762461736,0.6325680843474438,0.684600867696953,0.5314273151769122,0.5098392673926874,0.5450401660626774,-0.057197735753005116,-0.06535924525623309,-0.05019937041812736
llama-3.1-8b→deepseek-v3,min_token_negentropy,0.6481928510398262,0.6198699284108536,0.6769786559822146,0.536036339335182,0.5149051817421904,0.5528977401373895,-0.04554226487303763,-0.055118657564618034,-0.03752951943228345
llama-3.1-8b→deepseek-v3,probability_margin,0.5037246265004272,0.48802478660129905,0.5327344067557591,0.4850645614399509,0.46631877179429787,0.5020409502721848,0.005525145441734429,-0.004236752176656579,0.016720875226980954
llama-3.1-8b→deepseek-v3,sequence_probability,0.5223187251657002,0.5033297663190902,0.5493459091323859,0.4910608243729305,0.47230564745577763,0.506551815612377,0.00024079714107197512,-0.009360056405459994,0.010971003878198625
llama-3.1-8b→gpt-oss-20b,logreg_ensemble,0.6587445768940432,0.6332454022845482,0.6867987291474836,0.5357201389545959,0.5154127145219507,0.5454272767618891,-0.07024453137942843,-0.08067193668766748,-0.06110366772539312
llama-3.1-8b→gpt-oss-20b,mean_token_negentropy,0.5109499041883383,0.49743921558868176,0.5395739491824901,0.48951475013549395,0.4757666071953789,0.5130940789457179,-0.0038566721801246246,-0.016312773159893046,0.009614356448970783
llama-3.1-8b→gpt-oss-20b,min_probability,0.6559614762461736,0.6325680843474438,0.684600867696953,0.5341499417788519,0.5142622381893954,0.5460045598977495,-0.07268539794460964,-0.08089750610833174,-0.06369008529340896
llama-3.1-8b→gpt-oss-20b,min_token_negentropy,0.6481928510398262,0.6198699284108536,0.6769786559822146,0.5378566013395749,0.517035882144146,0.5542571187775974,-0.04999552901425961,-0.06196558679202765,-0.041757891325766815
