pair,scorer,median_cheap_auroc,p10_cheap_auroc,p90_cheap_auroc,median_benefit_auroc,p10_benefit_auroc,p90_benefit_auroc,median_gain,p10_gain,p90_gain
gpt-4o-mini→MiniMax-M2.7,logreg_ensemble,0.8309351080898334,0.8299321587780093,0.8319380574016575,0.7959450710296057,0.7858173500075298,0.8060727920516814,0.3659168624872625,0.32147547503262763,0.41035824994189746
gpt-4o-mini→MiniMax-M2.7,mean_token_negentropy,0.8331006747975167,0.8312268996775027,0.8349744499175308,0.7957531681279384,0.7841295806883399,0.807376755567537,0.3326284494099026,0.28410524963623457,0.38115164918357064
gpt-4o-mini→MiniMax-M2.7,min_probability,0.8170287651368505,0.8168890472225664,0.8171684830511347,0.7860345019322597,0.77802365755655,0.7940453463079694,0.2817171826418854,0.24788649204011043,0.31554787324366035
gpt-4o-mini→MiniMax-M2.7,min_token_negentropy,0.8302352154088135,0.8297027216428918,0.8307677091747353,0.7964512764711543,0.7873589023889256,0.8055436505533831,0.36334069053163953,0.33022746552869436,0.39645391553458476
gpt-4o-mini→MiniMax-M2.7,probability_margin,0.8312107516586646,0.8295894321439757,0.8328320711733534,0.7943190572056745,0.7835097833124748,0.8051283310988743,0.3492855140577273,0.2857892268913343,0.4127818012241203
gpt-4o-mini→MiniMax-M2.7,sequence_probability,0.8199995618091681,0.8184295843665891,0.8215695392517471,0.7860726821224528,0.7759676217687423,0.7961777424761635,0.2591377527241422,0.21462169040203882,0.30365381504624556
gpt-4o-mini→gpt-4o,logreg_ensemble,0.8325620613573077,0.817552056338852,0.8468645898319958,0.824293360327704,0.8083050190908438,0.8363865800719921,0.2215033433563292,0.1864781096634255,0.2615095766325612
gpt-4o-mini→gpt-4o,mean_token_negentropy,0.834491624832503,0.8179853796798984,0.8480178412134757,0.8286020939014007,0.812550798699169,0.840828820526889,0.24762663668064377,0.21380227394487267,0.28111118264631074
gpt-4o-mini→gpt-4o,min_probability,0.8209586391217613,0.8053043613623525,0.835530736244629,0.8199796137418986,0.806420377404523,0.8307216210879482,0.14811760077036945,0.12534910331796714,0.17072694742482078
gpt-4o-mini→gpt-4o,min_token_negentropy,0.8308474296280707,0.8169811220834241,0.8438406934938923,0.8212696381260576,0.8069815971641205,0.83413533315998,0.20567806629624152,0.17523510830118855,0.2512400856880896
gpt-4o-mini→gpt-4o,probability_margin,0.8316786608389053,0.8161033671561236,0.8460838477451348,0.8265217838618322,0.8112032682008393,0.8399826467646763,0.23508357261776947,0.19741955779043982,0.2844846792874857
gpt-4o-mini→gpt-4o,sequence_probability,0.8228968898447495,0.8061743928506623,0.8392976047046116,0.8225817082597191,0.8098204856511794,0.8343526018232276,0.15134805863219594,0.12841110936999678,0.18659879000811858
gpt-4o-mini→gpt-oss-20b,logreg_ensemble,0.8330375213102144,0.8191814647183505,0.8502190776439441,0.8482799483358122,0.835508891411275,0.8594475129442262,0.34969593647187597,0.29132476887399683,0.4234999742493853
gpt-4o-mini→gpt-oss-20b,mean_token_negentropy,0.8346627133558708,0.8205811961801075,0.8524421178379726,0.849009534112511,0.8356313224424275,0.8592718526708046,0.3543736999727507,0.2954182497521176,0.43672470444070005
gpt-4o-mini→gpt-oss-20b,min_probability,0.8209586391217613,0.8060681720446975,0.8377981699022566,0.8357535052874571,0.8250396624286958,0.8486142653193957,0.2917895693279473,0.2481486938726688,0.3602655891530472
gpt-4o-mini→gpt-oss-20b,min_token_negentropy,0.8313944804494104,0.8177507537068794,0.8501088322350522,0.8471608619249273,0.8350148253115094,0.8592446178077289,0.34198191091446684,0.2829581532977474,0.4147534470469862
gpt-4o-mini→gpt-oss-20b,probability_margin,0.8324935255654862,0.81885848096,0.8502992208337781,0.8487863375320743,0.8347130880528053,0.8592456044970058,0.33208046938882485,0.2787074651995323,0.4186430729966017
gpt-4o-mini→gpt-oss-20b,sequence_probability,0.8228968898447495,0.8086083102558476,0.8410297653674789,0.8373303989966789,0.8256438772920142,0.8495249488888463,0.29617817523427525,0.24761819335289745,0.360773225098081
llama-3.1-8b→MiniMax-M2.7,logreg_ensemble,0.6127349403441744,0.6058870667465315,0.6195828139418174,0.5829766743796415,0.5779436284710662,0.5880097202882169,0.011894824666000076,0.007890859171980015,0.01589879016002014
llama-3.1-8b→MiniMax-M2.7,mean_token_negentropy,0.586859124832041,0.5815702352236487,0.5921480144404332,0.5701649385041292,0.5690194299635654,0.5713104470446929,0.014368092543264103,0.008620419958656603,0.020115765127871606
llama-3.1-8b→MiniMax-M2.7,min_probability,0.5670268006022243,0.5605876948729986,0.5734659063314501,0.5544044411774373,0.5494316128731686,0.559377269481706,0.014247161476186657,0.007997816797139047,0.020496506155234268
llama-3.1-8b→MiniMax-M2.7,min_token_negentropy,0.5851694160690292,0.5805199851062797,0.5898188470317787,0.5661790735188017,0.5630235659894078,0.5693345810481956,0.013015888284584935,0.010034811849941335,0.015996964719228533
llama-3.1-8b→MiniMax-M2.7,probability_margin,0.563340807174888,0.5569575528969906,0.5697240614527853,0.5532126413019463,0.5503956839406137,0.5560295986632787,0.014899291760080717,0.00802432418981156,0.021774259330349873
llama-3.1-8b→MiniMax-M2.7,sequence_probability,0.5676308461899597,0.5617526832979878,0.5735090090819317,0.5565717547065193,0.5539997179352262,0.5591437914778125,0.014507527644511882,0.007791608764023393,0.021223446525000373
llama-3.1-8b→gpt-4o,logreg_ensemble,0.5933953635200984,0.5822780916611354,0.6122326820028816,0.5695192100326683,0.5605483815325898,0.593684534118097,0.021562137354757815,0.0005844236270053226,0.03824086246564749
llama-3.1-8b→gpt-4o,mean_token_negentropy,0.5748834404494018,0.5605514723737677,0.5876552103738,0.5613077896278535,0.5541523298799929,0.5842603358795899,0.0325030437244228,0.017289511623700002,0.04463780799007107
llama-3.1-8b→gpt-4o,min_probability,0.5559394780722345,0.5474124184487867,0.5746697479399718,0.5471358703542393,0.5272578446077745,0.5654686399624256,0.016290215615660332,-0.007473667995711374,0.03009774483224582
llama-3.1-8b→gpt-4o,min_token_negentropy,0.5767046834274984,0.569129931521264,0.593708617312331,0.5619308865734854,0.5424793907909179,0.5767261794539169,0.017538115386387495,-0.0047128446810620886,0.029208013994153997
llama-3.1-8b→gpt-4o,probability_margin,0.5506953100969711,0.5384031341568051,0.5654154052872707,0.5433070828446991,0.5320290554170155,0.5665178588129217,0.023287515113695693,0.009154328668313552,0.03921178715876469
llama-3.1-8b→gpt-4o,sequence_probability,0.5567236243544705,0.5439963737028702,0.5703643295397516,0.5451905856728008,0.5355872627889763,0.5695852021598763,0.023346451538239946,0.008477357244545666,0.039026834155219355
llama-3.1-8b→gpt-4o-mini,logreg_ensemble,0.597780511890693,0.5829628790208997,0.6196321898625569,0.5631907528239175,0.5374727777406865,0.5785654364601732,0.00011488218082525528,-0.034094174624934734,0.015994348468693666
llama-3.1-8b→gpt-4o-mini,mean_token_negentropy,0.5789185054475401,0.5610626345696201,0.5935329685451102,0.5745196154205001,0.5559610266099827,0.5921852765558605,0.018363975819691368,-0.003952450574613068,0.041208986321861416
llama-3.1-8b→gpt-4o-mini,min_probability,0.5594281701769439,0.5480140357125513,0.5750447216331288,0.5389849446143979,0.5208453780058145,0.5533289876390113,-0.008145648145235112,-0.03265275640391535,0.011352547442350366
llama-3.1-8b→gpt-4o-mini,min_token_negentropy,0.5805292936815011,0.5687373524793188,0.5942861536967186,0.5478407424762308,0.529219506293135,0.5640186633585561,-0.009108513986800964,-0.03531378321330922,0.012085040857891458
llama-3.1-8b→gpt-4o-mini,probability_margin,0.5555681468650338,0.5380842142753073,0.5697135387155784,0.551285581634509,0.5371463144752516,0.5698579884965778,0.009149948842841565,-0.014084792020179406,0.02932633145787954
llama-3.1-8b→gpt-4o-mini,sequence_probability,0.5602790953683767,0.543698499295786,0.5740242184844021,0.5538851690450246,0.5372956205388072,0.5713520773804412,0.006544396122223588,-0.016479753735034994,0.027034666601972523
llama-3.1-8b→gpt-oss-20b,logreg_ensemble,0.597780511890693,0.5829628790208997,0.6196321898625569,0.6031100531508293,0.5836006586860681,0.6201110497479728,0.03906945996123809,0.023541963629161028,0.05236182184774714
llama-3.1-8b→gpt-oss-20b,mean_token_negentropy,0.5789185054475401,0.5610626345696201,0.5935329685451102,0.5745154637801746,0.5622673216680529,0.5978417700343341,0.02371157809465442,0.00570478746612839,0.041122774521939784
llama-3.1-8b→gpt-oss-20b,min_probability,0.5594281701769439,0.5480140357125513,0.5750447216331288,0.5705796103481378,0.5580995914737025,0.591180711515262,0.03866187239239924,0.021366104558204712,0.054000103587354485
llama-3.1-8b→gpt-oss-20b,min_token_negentropy,0.5805292936815011,0.5687373524793188,0.5942861536967186,0.589575278647898,0.5761572524349997,0.6070069941306515,0.03997027572901375,0.022781338745399702,0.0525673923371593
llama-3.1-8b→gpt-oss-20b,probability_margin,0.5555681468650338,0.5380842142753073,0.5697135387155784,0.5573277117194008,0.5443928151909567,0.58112675940142,0.025392986269326154,0.009326325135832524,0.041009179514478564
llama-3.1-8b→gpt-oss-20b,sequence_probability,0.5602790953683767,0.543698499295786,0.5740242184844021,0.5625892767612313,0.5493993019097254,0.5857970590046503,0.027966366798061255,0.010607592665883219,0.04237946528325742
